,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
1986,4,19593,1,1,11,2015,0,3,25,9,20.85,1197,83.14,115.0,5.0,4,4,4,0,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,1
1987,0,84429,1,1,7,2016,3,3,25,9,18.6,1197,81.83,114.7,5.0,11,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1989,1,76898,1,1,15,2020,3,3,25,9,20.0,999,71.01,96.0,7.0,12,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,1
1990,0,119070,1,2,19,2013,0,3,25,9,16.47,1198,73.9,110.0,5.0,11,3,4,0,3970.0,1682.0,1453.0,2456.0,5,3,0,1,1,5,1
1991,0,120000,1,2,17,2004,2,1,29,0,13.5,1405,81.8,113.0,5.0,12,4,4,0,3995.0,1695.0,1505.0,2425.0,5,3,0,1,1,5,1
1992,4,32199,1,1,11,2017,2,3,25,9,20.85,1197,83.14,115.0,5.0,12,4,4,0,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,1
1993,0,85607,1,1,17,2016,0,3,25,9,23.84,1199,84.0,114.0,5.0,7,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
1994,0,30000,1,1,11,2019,2,3,25,9,21.4,1197,83.1,115.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
1997,0,45429,0,1,6,2016,0,3,25,9,19.0,1199,88.7,110.0,5.0,11,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
1998,0,9000,1,1,15,2019,0,3,25,8,22.25,799,53.26,72.0,5.0,10,3,4,0,3731.0,1579.0,1474.0,2425.0,5,1,0,1,1,5,1
1999,0,31000,1,1,11,2019,0,3,25,9,24.7,796,47.3,69.0,5.0,4,3,4,0,3445.0,1490.0,1475.0,2360.0,5,2,0,1,1,5,1
2000,0,81488,1,1,19,2013,0,1,25,9,20.14,1498,88.8,230.0,5.0,10,4,4,1,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
2001,0,94439,1,1,19,2019,2,3,25,9,18.78,999,75.0,95.0,5.0,10,3,4,0,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
2002,0,98481,1,3,11,2013,2,3,25,9,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
2003,0,20000,1,1,11,2018,2,3,25,9,21.4,1197,83.1,115.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
2005,0,86215,1,1,11,2016,2,1,25,9,25.2,1248,74.0,190.0,5.0,11,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
2006,4,120000,1,2,4,2006,2,1,25,0,17.8,1399,81.8,113.0,5.0,11,4,4,0,3995.0,1695.0,1505.0,2425.0,5,3,0,1,1,4,1
2007,0,98115,1,2,19,2017,2,3,25,9,16.2,1199,74.0,110.0,5.0,12,3,4,0,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
2008,4,47125,1,1,11,2019,2,3,25,9,17.5,1298,85.8,114.0,5.0,4,4,4,0,4160.0,1690.0,1530.0,2390.0,5,3,0,1,1,4,1
2009,0,4453,1,1,11,2022,2,3,25,9,23.56,1197,88.5,113.0,5.0,6,4,4,0,3655.0,1620.0,1675.0,2435.0,5,3,0,1,1,5,1
2010,3,9991,1,1,17,2022,2,3,25,9,20.09,1199,86.63,115.0,5.0,1,3,4,0,3827.0,1742.0,1615.0,2445.0,5,1,0,1,1,5,1
2012,0,108713,1,1,4,2012,0,1,25,9,20.0,1399,68.0,160.0,5.0,10,4,4,0,3795.0,1680.0,1427.0,2489.0,5,3,0,1,1,5,1
2014,3,55450,1,2,6,2017,0,3,25,9,17.5,1199,88.7,110.0,5.0,11,4,4,0,3999.0,1734.0,1601.0,2555.0,5,1,0,1,1,5,1
2015,3,49000,1,1,7,2016,0,3,25,9,13.0,1591,121.3,151.0,5.0,4,4,4,0,4270.0,1780.0,1630.0,2590.0,6,3,0,1,1,5,1
2016,4,86694,1,1,7,2015,0,3,25,9,20.14,1197,81.86,113.75,5.0,10,4,4,0,3995.0,1660.0,1520.0,2425.0,5,3,0,1,1,4,1
2017,4,150000,1,2,11,2013,2,1,29,8,23.4,1248,74.0,190.0,5.0,12,4,4,1,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,1
2019,0,30000,1,1,18,2021,2,3,25,9,21.01,1197,81.8,113.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,0,5,1
2022,3,49218,1,1,8,2020,0,3,25,9,18.2,998,118.36,172.0,5.0,11,3,4,1,3995.0,1790.0,1642.0,2500.0,6,1,0,1,1,5,1
2024,3,36035,1,1,17,2022,2,3,25,9,20.09,1199,86.63,115.0,5.0,11,3,4,0,3827.0,1742.0,1615.0,2445.0,5,1,0,1,1,5,1
2027,0,52979,0,1,17,2019,0,3,25,9,23.84,1199,83.83,114.0,5.0,4,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
2028,4,67130,1,2,6,2015,2,1,25,9,24.7,1498,98.63,200.0,5.0,11,4,4,1,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
2032,0,67558,1,1,11,2014,0,3,25,8,23.1,998,67.04,90.0,5.0,4,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,1
2034,0,55664,1,1,19,2014,0,3,25,9,16.47,1198,74.0,110.0,5.0,0,3,4,0,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
2035,0,55664,1,1,19,2014,2,3,25,9,16.47,1198,74.0,110.0,5.0,0,3,4,0,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
2039,0,86630,1,1,11,2013,0,1,25,9,22.9,1248,74.0,190.0,5.0,1,4,4,1,3850.0,1695.0,1530.0,2430.0,5,3,0,1,1,5,1
2040,0,82476,1,1,11,2014,0,3,25,9,20.51,998,67.04,90.0,5.0,1,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,1
2041,0,27749,0,2,7,2019,2,3,25,9,20.7,1197,81.86,113.8,5.0,12,4,4,0,3805.0,1680.0,1520.0,2450.0,5,1,0,1,1,5,1
2042,3,21609,0,1,7,2020,2,3,25,9,18.15,998,118.35,171.6,5.0,10,3,4,1,3995.0,1770.0,1605.0,2500.0,7,1,0,1,0,5,1
