,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
1098,Hatchback,110000,Manual,2,Maruti,2010,260000.0,Third Party,Petrol,9,18.9,998.0,67.1,90.0,others,3.0,4.0,No,3595.0,1495.0,1700.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1099,Sedan,90000,Automatic,3,Honda,2009,300000.0,Third Party,Petrol,9,16.8,1497.0,103.7259811197063,146.0,others,4.0,4.0,No,4420.0,1695.0,1480.0,2550.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1100,Hatchback,30000,Automatic,1,Maruti,2019,650000.0,Third Party,Petrol,9,21.21,1197.0,81.8,113.0,others,4.0,4.0,No,3840.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1101,Hatchback,56276,Manual,1,Maruti,2016,375000.0,Comprehensive,Petrol,9,23.95,998.0,67.05,90.0,red,3.0,4.0,No,3545.0,1515.0,1475.0,2360.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1102,Hatchback,27103,Manual,1,Hyundai,2016,647000.0,Comprehensive,Petrol,9,18.6,1197.0,81.83,114.7,white,4.0,4.0,No,3985.0,1734.0,1505.0,2570.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1103,Hatchback,80000,Manual,2,Ford,2011,245000.0,Third Party,Diesel,8,20.0,1399.0,68.0,160.0,others,4.0,4.0,No,3795.0,1680.0,1427.0,2489.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1104,Hatchback,46507,Automatic,1,Maruti,2017,591000.0,Zero Dep,Petrol,9,20.89,1197.0,81.8,113.0,blue,4.0,4.0,No,3700.0,1690.0,1595.0,2435.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1105,Hatchback,30000,Manual,1,Hyundai,2018,575000.0,Third Party,Petrol,9,18.9,1197.0,81.86,113.75,others,4.0,4.0,No,3765.0,1660.0,1520.0,2425.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1106,Sedan,39070,Manual,1,Maruti,2017,659000.0,Zero Dep,Petrol,9,21.21,1197.0,81.8,113.0,red,4.0,4.0,No,3995.0,1735.0,1515.0,2450.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1107,Sedan,120000,Manual,1,Toyota,2019,720000.0,Third Party,Diesel,8,23.59,1364.0,67.05,170.0,others,4.0,2.0,Yes,4369.0,1695.0,1510.0,2550.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1108,Hatchback,22438,Manual,1,Maruti,2020,733000.0,Third Party,Petrol,9,21.01,1197.0,81.8,113.0,others,4.0,4.0,No,3995.0,1745.0,1510.0,2520.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1109,Hatchback,21225,Automatic,2,Maruti,2020,867000.0,Zero Dep,Petrol,9,21.4,1197.0,83.1,115.0,red,4.0,4.0,No,3995.0,1745.0,1510.0,2520.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1110,Hatchback,28737,Automatic,1,Honda,2019,850000.0,Comprehensive,Petrol,9,18.2,1199.0,88.7,110.0,others,4.0,4.0,No,3955.0,1694.0,1544.0,2530.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1111,SUV,20000,Manual,1,Renault,2021,919999.0,Third Party,Petrol,9,20.5,999.0,98.63,160.0,others,3.0,4.0,Yes,3991.0,1750.0,1605.0,2500.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1112,Hatchback,30000,Manual,1,Hyundai,2019,720000.0,Third Party,Diesel,9,22.54,1396.0,88.76,219.66,others,4.0,4.0,Yes,3985.0,1734.0,1505.0,2570.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1113,Hatchback,70000,Manual,3,Chevrolet,2009,120000.0,Third Party,Petrol,8,18.0,995.0,62.0,90.3,silver,4.0,2.0,No,3495.0,1495.0,1518.0,2345.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1114,Sedan,120000,Automatic,2,Mercedes-Benz,2010,650000.0,Third Party,Diesel,9,14.84,2143.0,170.0,400.0,others,4.0,4.0,No,4591.0,1770.0,1447.0,2760.0,7.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1115,Hatchback,80000,Manual,2,Hyundai,2012,350000.0,Third Party,Petrol,9,18.5,1197.0,82.85,113.7,gray,4.0,4.0,No,3995.0,1710.0,1505.0,2525.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1116,Hatchback,100000,Manual,2,Volkswagen,2010,360000.0,Third Party,Diesel,9,22.07,1199.0,73.9,180.0,others,3.0,4.0,No,3970.0,1682.0,1453.0,2456.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1117,Sedan,80000,Automatic,1,Audi,2013,1600000.0,Third Party,Diesel,9,17.68,1968.0,174.33,380.0,others,4.0,4.0,Yes,4915.0,2086.0,1455.0,2912.0,8.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1118,Hatchback,40000,Manual,3,Maruti,2009,200000.0,Third Party,Petrol,0,19.5,1061.0,103.7259811197063,174.43382770312695,others,4.0,4.0,No,4066.5465673902063,1716.1002525252525,1556.269308430086,2515.9687699171445,5.0,5.2022946859903385,Power,Disc,Drum,Tubeless,5.0,Bangalore
1119,Sedan,70000,Manual,1,Skoda,2018,1600000.0,Third Party,Diesel,9,21.0,1968.0,141.0,320.0,others,4.0,4.0,Yes,4670.0,1814.0,1476.0,2688.0,6.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1120,Hatchback,90106,Manual,2,Hyundai,2013,381000.0,Third Party,Diesel,9,21.9,1396.0,88.8,219.7,silver,4.0,4.0,No,3995.0,1710.0,1505.0,2525.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1121,Sedan,50000,Manual,1,Skoda,2009,400000.0,Third Party,Petrol,9,13.7,1798.0,157.75,250.0,white,4.0,4.0,Yes,4833.0,1817.0,1482.0,2761.0,7.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1122,Hatchback,138175,Automatic,1,Maruti,2016,389000.0,Zero Dep,Petrol,8,26.68,998.0,65.71,89.0,red,3.0,4.0,No,3695.0,1655.0,1555.0,2435.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1123,Hatchback,55609,Manual,1,Renault,2019,445000.0,Third Party,Petrol,9,23.01,999.0,67.0,91.0,white,3.0,4.0,No,3731.0,1579.0,1474.0,2422.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1124,Hatchback,120000,Manual,3,Tata,2015,186000.0,Third Party,Diesel,8,17.88,1405.0,48.21,85.0,white,4.0,4.0,Yes,3690.0,1665.0,1485.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1125,Hatchback,56410,Automatic,1,Maruti,2018,642000.0,Comprehensive,Petrol,9,22.56,1197.0,88.5,113.0,silver,4.0,4.0,No,3845.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1126,Hatchback,30000,Manual,1,Maruti,2022,725000.0,Third Party,Petrol,9,22.35,1197.0,88.5,113.0,silver,4.0,4.0,No,3990.0,1745.0,1500.0,2520.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1127,Hatchback,77593,Manual,1,Hyundai,2017,616000.0,Comprehensive,Petrol,9,18.6,1197.0,81.83,114.7,white,4.0,4.0,No,3985.0,1734.0,1505.0,2570.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1128,SUV,49538,Manual,1,Honda,2018,694000.0,Third Party,Petrol,9,17.5,1199.0,88.7,110.0,silver,4.0,4.0,No,3999.0,1734.0,1601.0,2555.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1129,Sedan,87000,Manual,4,Chevrolet,2012,400000.0,Third Party,Diesel,9,17.3,1998.0,163.7,380.0,gray,4.0,4.0,Yes,4597.0,1788.0,1477.0,2685.0,6.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1130,SUV,80000,Manual,1,Mahindra,2016,650000.0,Third Party,Diesel,8,15.96,2523.0,63.0,180.0,others,4.0,2.0,Yes,4440.0,1660.0,1977.0,2794.0,5.0,9.0,Manual,Disc,Drum,Tubeless,5.0,Bangalore
1131,Hatchback,50000,Manual,2,Datsun,2018,300000.0,Third Party,Petrol,9,22.5,999.0,67.0,91.0,others,3.0,4.0,No,3429.0,1560.0,1541.0,2348.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1132,Hatchback,120000,Manual,1,Maruti,2012,400000.0,Third Party,Diesel,9,22.9,1248.0,74.0,190.0,others,4.0,4.0,Yes,3850.0,1695.0,1530.0,2430.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1133,Hatchback,30000,Manual,1,Maruti,2018,649000.0,Third Party,Petrol,9,22.0,1197.0,81.8,113.0,others,4.0,4.0,No,3840.0,1735.0,1530.0,2450.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1135,Hatchback,120000,Manual,3,Hyundai,2010,240000.0,Third Party,Petrol,9,17.92,1086.0,62.1,96.1,others,3.0,4.0,No,3565.0,1525.0,1590.0,2380.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1136,Hatchback,30000,Automatic,1,Hyundai,2021,800000.0,Third Party,Petrol,9,20.7,1197.0,81.86,113.8,others,4.0,4.0,No,3805.0,1680.0,1520.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1137,Hatchback,100000,Manual,1,Maruti,2009,350000.0,Third Party,Diesel,6,17.8,1248.0,103.7259811197063,174.43382770312695,others,4.0,4.0,No,4066.5465673902063,1716.1002525252525,1556.269308430086,2515.9687699171445,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1138,Hatchback,41268,Manual,2,Maruti,2016,415000.0,Third Party,Petrol,8,25.24,998.0,65.71,89.0,silver,3.0,4.0,No,3695.0,1655.0,1555.0,2435.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1139,Hatchback,60020,Manual,1,Maruti,2011,384000.0,Comprehensive,Petrol,9,22.38,1197.0,88.5,113.0,red,4.0,4.0,No,3845.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1140,SUV,120000,Manual,1,Mahindra,2015,900000.0,Third Party,Diesel,9,16.0,2179.0,140.0,330.0,others,4.0,4.0,Yes,4585.0,1890.0,1785.0,2700.0,6.0,7.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1141,Hatchback,32148,Manual,1,Hyundai,2016,782000.0,Third Party,Diesel,9,22.54,1396.0,88.73,219.7,red,4.0,4.0,Yes,3985.0,1734.0,1505.0,2570.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1142,Hatchback,69565,Automatic,1,Maruti,2016,463000.0,Comprehensive,Petrol,9,26.0,998.0,65.71,89.0,silver,3.0,4.0,No,3695.0,1655.0,1555.0,2435.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1143,Hatchback,60000,Manual,1,Honda,2017,660000.0,Third Party,Diesel,9,27.3,1498.0,98.6,200.0,white,4.0,4.0,Yes,3955.0,1694.0,1544.0,2530.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1144,Hatchback,26007,Automatic,1,Maruti,2018,663000.0,Comprehensive,Petrol,9,22.56,1197.0,88.5,113.0,white,4.0,4.0,No,3845.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1145,SUV,30000,Manual,2,Ford,2018,900000.0,Third Party,Petrol,9,18.88,999.0,123.24,170.0,brown,3.0,4.0,Yes,3999.0,1765.0,1708.0,2520.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1146,Hatchback,134850,Manual,2,Maruti,2010,316000.0,Comprehensive,Petrol,9,22.38,1197.0,88.5,113.0,blue,4.0,4.0,No,3845.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1147,Hatchback,44385,Manual,1,Maruti,2015,436000.0,Comprehensive,Petrol,8,25.24,998.0,65.71,89.0,white,3.0,4.0,No,3695.0,1655.0,1555.0,2435.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1148,SUV,120000,Manual,2,Tata,2009,280000.0,Third Party,Diesel,9,13.93,2179.0,138.0,320.0,white,4.0,4.0,No,4650.0,1918.0,1925.0,2650.0,5.0,7.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1149,SUV,30000,Manual,1,Hyundai,2018,1350000.0,Third Party,Diesel,9,19.67,1582.0,126.2,259.9,others,4.0,4.0,Yes,4270.0,1780.0,1630.0,2590.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1150,Sedan,87000,Automatic,3,BMW,2011,975000.0,Third Party,Diesel,9,13.2,1995.0,103.7259811197063,34.7,black,4.0,4.0,Yes,4531.0,1817.0,1421.0,2760.0,6.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1151,Sedan,102662,Automatic,1,Honda,2014,520000.0,Comprehensive,Petrol,9,18.0,1497.0,117.3,145.0,gray,4.0,4.0,No,4440.0,1695.0,1495.0,2600.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1152,SUV,13802,Automatic,1,Skoda,2022,1764999.0,Comprehensive,Petrol,9,17.2,999.0,113.98,178.0,white,3.0,4.0,Yes,4225.0,1760.0,1612.0,2651.0,6.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1153,Hatchback,90000,Manual,4,Ford,2011,175000.0,Third Party,Diesel,8,20.0,1399.0,68.0,160.0,others,4.0,4.0,No,3795.0,1680.0,1427.0,2489.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1154,Hatchback,40000,Manual,2,Hyundai,2011,400000.0,Third Party,Petrol,9,17.0,1197.0,103.7259811197063,11.4,others,4.0,4.0,No,3940.0,1710.0,1505.0,2.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1155,Sedan,65000,Automatic,2,Mercedes-Benz,2011,950000.0,Third Party,Petrol,9,14.74,1991.0,184.0,300.0,white,4.0,4.0,Yes,4686.0,2020.0,1442.0,2840.0,9.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1156,SUV,42000,Manual,1,Kia,2020,1595000.0,Comprehensive,Petrol,9,16.1,1353.0,138.0,242.0,white,4.0,4.0,Yes,4315.0,1800.0,1645.0,2610.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1157,Hatchback,13444,Automatic,2,Hyundai,2017,593000.0,Comprehensive,Petrol,9,18.9,1197.0,81.86,113.75,silver,4.0,4.0,No,3765.0,1660.0,1520.0,2425.0,4.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1158,SUV,56226,Manual,1,Mahindra,2019,1057000.0,Third Party,Diesel,9,20.0,1497.0,115.0,300.0,silver,4.0,4.0,Yes,3995.0,1821.0,1627.0,2600.0,6.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1159,Hatchback,8733,Automatic,1,Renault,2020,560000.0,Third Party,Petrol,9,22.0,999.0,67.0,91.0,red,3.0,4.0,No,3731.0,1579.0,1474.0,2422.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1160,Sedan,57963,Automatic,1,Honda,2020,1264000.0,Comprehensive,Petrol,9,18.3,1498.0,119.35,145.0,white,4.0,4.0,No,4549.0,1748.0,1489.0,2600.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,4.0,Bangalore
1161,Sedan,19508,Automatic,1,Honda,2022,1666000.0,Comprehensive,Petrol,9,16.4,1497.0,103.7259811197063,12.7,white,4.0,2.0,No,4390.0,1695.0,1495.0,2450.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1162,Sedan,49423,Manual,1,Honda,2018,789000.0,Third Party,Petrol,9,17.4,1497.0,117.6,145.0,brown,4.0,4.0,No,4440.0,1695.0,1495.0,2600.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1163,Hatchback,78622,Manual,2,Maruti,2012,459000.0,Comprehensive,Petrol,9,22.38,1197.0,88.5,113.0,white,4.0,4.0,No,3845.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
